roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason,k_ref_free_coef,k_ref_free_coef_ci_low,k_ref_free_coef_ci_high,k_ref_coef_fast,k_ref_coef_fast_ci_low,k_ref_coef_fast_ci_high,k_ref_tau_fast,k_ref_tau_fast_ci_low,k_ref_tau_fast_ci_high,k_ref_coef_slow,k_ref_coef_slow_ci_low,k_ref_coef_slow_ci_high,k_ref_tau_slow,k_ref_tau_slow_ci_low,k_ref_tau_slow_ci_high,k_ref_gof,k_ref_percent_fast,k_ref_fit_available,k_ref_fit_any_value_present,k_ref_fitted_peak_component,k_ref_fit_amplitude_relative_difference
ROI_001,B,4.132504981519288,22.884204303219718,204.0,145.73483504474277,1,False,True,0.07789142407553108,False,False,,0.06175741972680309,-1.4130412438085902,1.5365560832621965,4.198517979491505,0.7397389034360593,7.65729705554695,28.455555673236038,17.79275575926447,39.1183555872076,1.7909751857098045e-05,-2.0728027697130478,2.072838589216762,100.00045211443519,-29575701.18548007,29575901.1863843,0.9968273641308668,0.999995734286349,True,True,4.198535889243361,0.015978421809378546
ROI_002,C,2.346396923598419,17.9298241909448,204.0,60.76175308653334,1,False,True,0.0952006294256491,False,False,,0.04471788380979678,-633.2813118689998,633.3707476366193,2.528793140371761,2.230458492180583,2.8271277885629393,16.834815209400848,14.646294020177027,19.023336398624668,0.008393669168859195,-633.0110466125323,633.02783395087,3131.1946021255626,-243735940.24374828,243742202.63295254,0.9909928846497086,0.9966917417600878,True,True,2.5371868095406205,0.08131185479463013
ROI_003,D,6.263296219929233,9.635272258117482,203.0,136.56782578421013,1,False,True,0.013375295043273014,False,False,,1.9799602009986774e-09,,,5.94386057770572,5.765319377201346,6.122401778210094,7.050517520132889,6.605310747525857,7.495724292739921,1.0502570298265983,0.9079771273191908,1.1925369323340058,104.3980347682431,79.67756139590115,129.11850814058502,0.9871914978570118,0.8498370932888627,True,True,6.994117607532318,0.11668319075787585
ROI_004,E,4.667348027558255,12.775320960330504,204.0,96.06398365736837,1,False,True,0.11801730920535011,False,False,,0.08900485655730415,-404.5180633225308,404.69607303564544,4.782910291382763,4.656147628611876,4.909672954153649,12.487346399669844,12.00203361829557,12.972659181044119,0.06204975345383612,-404.41396139959454,404.5380609065022,3371.9148256547032,-22566820.60466333,22573564.434314642,0.9982343117959844,0.9871929277270378,True,True,4.844960044836599,0.038054161855862835
ROI_005,F,4.415486664117939,10.662048759901097,204.0,77.23338002367998,1,False,True,0.06058221872541306,False,False,,1.874221071097737e-10,,,4.2444870144149105,4.199321866420817,4.289652162409004,11.085827892167638,10.841896813895188,11.329758970440087,0.2195889511691518,0.19417950449397248,0.24499839784433114,100.000000003934,,,0.9972905974663477,0.9508097637983582,True,True,4.464075965584063,0.011004291296128349
ROI_006,G,4.728940865391623,9.452686766658417,203.0,63.711059484155754,1,False,True,0.044846577498033044,False,False,,6.4558979386762595e-09,,,4.7758471255781405,4.725304416142186,4.826389835014095,10.056507286190605,9.850629970382968,10.262384601998242,0.08674255157300492,0.03577954413655707,0.13770555900945278,100.00494806604043,13.750566060672426,186.25933007140844,0.9988936408309894,0.982161243836674,True,True,4.862589677151146,0.02826189110073693
ROI_007,H,3.734535032039969,14.45457423830075,204.0,83.07102714256148,1,False,True,0.2690794649881983,False,False,,0.04907807485180289,-14.19035121733966,14.288507367043266,3.6914506825122158,3.6086122436249384,3.774289121399493,15.963987092674998,15.559505323998579,16.368468861351417,0.044267223878446296,-14.10997953087526,14.198513978632151,890.9622828284026,-318177.008364698,319958.9329303548,0.999621385432432,0.9881502766034023,True,True,3.7357179063906623,0.0003167393907259878
ROI_008,I,5.244413849275475,13.245994004451774,204.0,88.21232171531626,1,False,True,0.04720692368214005,False,False,,0.032352039893932476,-87.29530886561338,87.36001294540125,5.56420815490081,5.349575811968394,5.778840497833227,12.19250086864741,11.501074808114176,12.883926929180646,0.005146112311510413,-87.10170122100338,87.1119934456264,1210.6456449530162,-22081333.692220483,22083754.983510386,0.9961317899554737,0.99907599479857,True,True,5.56935426721232,0.06195933945635067
ROI_009,J,5.700334149884663,24.42043983526119,204.0,170.13019139692364,1,False,True,0.14240755310778913,False,False,,1.0116787768315772e-09,,,5.6322038935465955,5.518237934458131,5.7461698526350595,28.28256820404519,27.355352009465104,29.209784398625278,1.1730624474993578e-09,,,100.00000000493249,,,0.9832960094668161,0.9999999997917223,True,True,5.632203894719658,0.011951975686615357
ROI_010,K,5.480452942740591,15.318603333345465,203.0,156.63087097300684,1,False,True,0.03619197482297404,False,False,,6.22453754681356e-09,,,4.594968748970226,4.465411327889929,4.724526170050523,13.881252149743018,13.031075070145008,14.731429229341028,1.1613370616965064,1.0706820612249632,1.2519920621680496,100.00000000047497,,,0.9862107274700755,0.7982495892514104,True,True,5.756305810666732,0.05033395429323701
